Folder,Id,Field,Well,CoringTop,CoringDown,CoringTopBind,CoringDownBind,CoreRecovery,PhotoTop,PhotoDown,PhotoType,LayerTop,LayerDown,Rock,Carbonate,Ruin,Saturation
Unload1,1000000,Field6,Well11,1957.1,1963.1,1958.3,1964.3,5.93,0.0,1.0,ДС,0.0,1.45,песчаник,не карбонатный,не разрушен,нефтенасыщенные
Unload1,1000001,Field6,Well11,1957.1,1963.1,1958.3,1964.3,5.93,0.0,1.0,УФ,0.0,1.45,песчаник,не карбонатный,не разрушен,нефтенасыщенные
Unload1,1000002,Field6,Well11,1957.1,1963.1,1958.3,1964.3,5.93,1.0,1.45,ДС,0.0,1.45,песчаник,не карбонатный,не разрушен,нефтенасыщенные
Unload1,1000003,Field6,Well11,1957.1,1963.1,1958.3,1964.3,5.93,1.0,1.45,УФ,0.0,1.45,песчаник,не карбонатный,не разрушен,нефтенасыщенные
Unload1,1000004,Field6,Well11,1957.1,1963.1,1958.3,1964.3,5.93,1.45,2.0,ДС,1.45,3.54,алевролит,не карбонатный,не разрушен,не опред.
Unload1,1000005,Field6,Well11,1957.1,1963.1,1958.3,1964.3,5.93,1.45,2.0,УФ,1.45,3.54,алевролит,не карбонатный,не разрушен,не опред.
Unload1,1000006,Field6,Well11,1957.1,1963.1,1958.3,1964.3,5.93,2.0,3.0,ДС,1.45,3.54,алевролит,не карбонатный,не разрушен,не опред.
Unload1,1000007,Field6,Well11,1957.1,1963.1,1958.3,1964.3,5.93,2.0,3.0,УФ,1.45,3.54,алевролит,не карбонатный,не разрушен,не опред.
Unload1,1000008,Field6,Well11,1957.1,1963.1,1958.3,1964.3,5.93,3.0,3.54,ДС,1.45,3.54,алевролит,не карбонатный,не разрушен,не опред.
Unload1,1000009,Field6,Well11,1957.1,1963.1,1958.3,1964.3,5.93,3.0,3.54,УФ,1.45,3.54,алевролит,не карбонатный,не разрушен,не опред.
Unload1,1000010,Field6,Well11,1957.1,1963.1,1958.3,1964.3,5.93,3.54,4.0,ДС,3.54,5.85,песчаник,не карбонатный,не разрушен,слабо нефтенасыщенные
