,Folder,Id,Field,Well,CoringTop,CoringDown,CoringTopBind,CoringDownBind,CoreRecovery,PhotoTop,PhotoDown,PhotoType,LayerTop,LayerDown,Rock,Carbonate,Ruin,Saturation,class
0,Unload1,1000000,Field6,Well11,1957.1,1963.1,1958.3,1964.3,5.93,0.0,1.0,ДС,0.0,1.45,песчаник,не карбонатный,не разрушен,нефтенасыщенные,1
2,Unload1,1000002,Field6,Well11,1957.1,1963.1,1958.3,1964.3,5.93,1.0,1.45,ДС,0.0,1.45,песчаник,не карбонатный,не разрушен,нефтенасыщенные,1
4,Unload1,1000004,Field6,Well11,1957.1,1963.1,1958.3,1964.3,5.93,1.45,2.0,ДС,1.45,3.54,алевролит,не карбонатный,не разрушен,не опред.,0
6,Unload1,1000006,Field6,Well11,1957.1,1963.1,1958.3,1964.3,5.93,2.0,3.0,ДС,1.45,3.54,алевролит,не карбонатный,не разрушен,не опред.,0
8,Unload1,1000008,Field6,Well11,1957.1,1963.1,1958.3,1964.3,5.93,3.0,3.54,ДС,1.45,3.54,алевролит,не карбонатный,не разрушен,не опред.,0
10,Unload1,1000010,Field6,Well11,1957.1,1963.1,1958.3,1964.3,5.93,3.54,4.0,ДС,3.54,5.85,песчаник,не карбонатный,не разрушен,слабо нефтенасыщенные,5
12,Unload1,1000012,Field6,Well11,1957.1,1963.1,1958.3,1964.3,5.93,4.0,5.0,ДС,3.54,5.85,песчаник,не карбонатный,не разрушен,слабо нефтенасыщенные,5
14,Unload1,1000014,Field6,Well11,1957.1,1963.1,1958.3,1964.3,5.93,5.0,5.85,ДС,3.54,5.85,песчаник,не карбонатный,не разрушен,слабо нефтенасыщенные,5
16,Unload1,1000016,Field6,Well11,1957.1,1963.1,1958.3,1964.3,5.93,5.85,5.93,ДС,5.85,5.93,"пересл. песчаника, алевролита и глин",не карбонатный,не разрушен,пятнисто нефтенасыщенные,4
18,Unload1,1000018,Field6,Well11,1963.1,1978.1,1964.3,1979.3,15.0,0.0,1.0,ДС,0.0,1.26,песчаник,не карбонатный,не разрушен,слабо нефтенасыщенные,5
20,Unload1,1000020,Field6,Well11,1963.1,1978.1,1964.3,1979.3,15.0,1.0,1.26,ДС,0.0,1.26,песчаник,не карбонатный,не разрушен,слабо нефтенасыщенные,5
22,Unload1,1000022,Field6,Well11,1963.1,1978.1,1964.3,1979.3,15.0,1.26,1.83,ДС,1.26,1.83,"пересл. песчаника, алевролита и глин",не карбонатный,не разрушен,пятнисто нефтенасыщенные,4
24,Unload1,1000024,Field6,Well11,1963.1,1978.1,1964.3,1979.3,15.0,1.83,2.0,ДС,1.83,2.13,песчаник,не карбонатный,не разрушен,слабо нефтенасыщенные,5
26,Unload1,1000026,Field6,Well11,1963.1,1978.1,1964.3,1979.3,15.0,2.0,2.13,ДС,1.83,2.13,песчаник,не карбонатный,не разрушен,слабо нефтенасыщенные,5
28,Unload1,1000028,Field6,Well11,1963.1,1978.1,1964.3,1979.3,15.0,2.13,2.4,ДС,2.13,2.4,алевролит,не карбонатный,не разрушен,не опред.,0
30,Unload1,1000030,Field6,Well11,1963.1,1978.1,1964.3,1979.3,15.0,2.4,2.73,ДС,2.4,2.73,песчаник,не карбонатный,не разрушен,слабо нефтенасыщенные,5
32,Unload1,1000032,Field6,Well11,1963.1,1978.1,1964.3,1979.3,15.0,2.73,3.0,ДС,2.73,3.35,песчаник,не карбонатный,не разрушен,слабо нефтенасыщенные,5
34,Unload1,1000034,Field6,Well11,1963.1,1978.1,1964.3,1979.3,15.0,3.0,3.35,ДС,2.73,3.35,песчаник,не карбонатный,не разрушен,слабо нефтенасыщенные,5
36,Unload1,1000036,Field6,Well11,1963.1,1978.1,1964.3,1979.3,15.0,3.35,4.0,ДС,3.35,4.65,песчаник,не карбонатный,не разрушен,слабо нефтенасыщенные,5
