,Folder,Id,Field,Well,CoringTop,CoringDown,CoringTopBind,CoringDownBind,CoreRecovery,PhotoTop,PhotoDown,PhotoType,LayerTop,LayerDown,Rock,Carbonate,Ruin,Saturation,class
1,Unload1,1000001,Field6,Well11,1957.1,1963.1,1958.3,1964.3,5.93,0.0,1.0,УФ,0.0,1.45,песчаник,не карбонатный,не разрушен,нефтенасыщенные,1
3,Unload1,1000003,Field6,Well11,1957.1,1963.1,1958.3,1964.3,5.93,1.0,1.45,УФ,0.0,1.45,песчаник,не карбонатный,не разрушен,нефтенасыщенные,1
5,Unload1,1000005,Field6,Well11,1957.1,1963.1,1958.3,1964.3,5.93,1.45,2.0,УФ,1.45,3.54,алевролит,не карбонатный,не разрушен,не опред.,0
7,Unload1,1000007,Field6,Well11,1957.1,1963.1,1958.3,1964.3,5.93,2.0,3.0,УФ,1.45,3.54,алевролит,не карбонатный,не разрушен,не опред.,0
9,Unload1,1000009,Field6,Well11,1957.1,1963.1,1958.3,1964.3,5.93,3.0,3.54,УФ,1.45,3.54,алевролит,не карбонатный,не разрушен,не опред.,0
11,Unload1,1000011,Field6,Well11,1957.1,1963.1,1958.3,1964.3,5.93,3.54,4.0,УФ,3.54,5.85,песчаник,не карбонатный,не разрушен,слабо нефтенасыщенные,5
13,Unload1,1000013,Field6,Well11,1957.1,1963.1,1958.3,1964.3,5.93,4.0,5.0,УФ,3.54,5.85,песчаник,не карбонатный,не разрушен,слабо нефтенасыщенные,5
15,Unload1,1000015,Field6,Well11,1957.1,1963.1,1958.3,1964.3,5.93,5.0,5.85,УФ,3.54,5.85,песчаник,не карбонатный,не разрушен,слабо нефтенасыщенные,5
17,Unload1,1000017,Field6,Well11,1957.1,1963.1,1958.3,1964.3,5.93,5.85,5.93,УФ,5.85,5.93,"пересл. песчаника, алевролита и глин",не карбонатный,не разрушен,пятнисто нефтенасыщенные,4
19,Unload1,1000019,Field6,Well11,1963.1,1978.1,1964.3,1979.3,15.0,0.0,1.0,УФ,0.0,1.26,песчаник,не карбонатный,не разрушен,слабо нефтенасыщенные,5
21,Unload1,1000021,Field6,Well11,1963.1,1978.1,1964.3,1979.3,15.0,1.0,1.26,УФ,0.0,1.26,песчаник,не карбонатный,не разрушен,слабо нефтенасыщенные,5
23,Unload1,1000023,Field6,Well11,1963.1,1978.1,1964.3,1979.3,15.0,1.26,1.83,УФ,1.26,1.83,"пересл. песчаника, алевролита и глин",не карбонатный,не разрушен,пятнисто нефтенасыщенные,4
25,Unload1,1000025,Field6,Well11,1963.1,1978.1,1964.3,1979.3,15.0,1.83,2.0,УФ,1.83,2.13,песчаник,не карбонатный,не разрушен,слабо нефтенасыщенные,5
27,Unload1,1000027,Field6,Well11,1963.1,1978.1,1964.3,1979.3,15.0,2.0,2.13,УФ,1.83,2.13,песчаник,не карбонатный,не разрушен,слабо нефтенасыщенные,5
29,Unload1,1000029,Field6,Well11,1963.1,1978.1,1964.3,1979.3,15.0,2.13,2.4,УФ,2.13,2.4,алевролит,не карбонатный,не разрушен,не опред.,0
31,Unload1,1000031,Field6,Well11,1963.1,1978.1,1964.3,1979.3,15.0,2.4,2.73,УФ,2.4,2.73,песчаник,не карбонатный,не разрушен,слабо нефтенасыщенные,5
33,Unload1,1000033,Field6,Well11,1963.1,1978.1,1964.3,1979.3,15.0,2.73,3.0,УФ,2.73,3.35,песчаник,не карбонатный,не разрушен,слабо нефтенасыщенные,5
35,Unload1,1000035,Field6,Well11,1963.1,1978.1,1964.3,1979.3,15.0,3.0,3.35,УФ,2.73,3.35,песчаник,не карбонатный,не разрушен,слабо нефтенасыщенные,5
37,Unload1,1000037,Field6,Well11,1963.1,1978.1,1964.3,1979.3,15.0,3.35,4.0,УФ,3.35,4.65,песчаник,не карбонатный,не разрушен,слабо нефтенасыщенные,5
39,Unload1,1000039,Field6,Well11,1963.1,1978.1,1964.3,1979.3,15.0,4.0,4.65,УФ,3.35,4.65,песчаник,не карбонатный,не разрушен,слабо нефтенасыщенные,5
41,Unload1,1000041,Field6,Well11,1963.1,1978.1,1964.3,1979.3,15.0,4.65,5.0,УФ,4.65,5.15,алевролит,не карбонатный,не разрушен,не опред.,0
43,Unload1,1000043,Field6,Well11,1963.1,1978.1,1964.3,1979.3,15.0,5.0,5.15,УФ,4.65,5.15,алевролит,не карбонатный,не разрушен,не опред.,0
45,Unload1,1000045,Field6,Well11,1963.1,1978.1,1964.3,1979.3,15.0,5.15,5.29,УФ,5.15,5.29,песчаник,не карбонатный,не разрушен,слабо нефтенасыщенные,5
47,Unload1,1000047,Field6,Well11,1963.1,1978.1,1964.3,1979.3,15.0,5.29,5.6,УФ,5.29,5.6,алевролит,не карбонатный,не разрушен,пятнисто нефтенасыщенные,4
49,Unload1,1000049,Field6,Well11,1963.1,1978.1,1964.3,1979.3,15.0,5.6,5.75,УФ,5.6,5.75,"пересл. песчаника, алевролита и глин",не карбонатный,не разрушен,пятнисто нефтенасыщенные,4
51,Unload1,1000051,Field6,Well11,1963.1,1978.1,1964.3,1979.3,15.0,5.75,6.0,УФ,5.75,7.08,"пересл. песчаника, алевролита и глин",не карбонатный,не разрушен,пятнисто нефтенасыщенные,4
53,Unload1,1000053,Field6,Well11,1963.1,1978.1,1964.3,1979.3,15.0,6.0,7.0,УФ,5.75,7.08,"пересл. песчаника, алевролита и глин",не карбонатный,не разрушен,пятнисто нефтенасыщенные,4
55,Unload1,1000055,Field6,Well11,1963.1,1978.1,1964.3,1979.3,15.0,7.0,7.08,УФ,5.75,7.08,"пересл. песчаника, алевролита и глин",не карбонатный,не разрушен,пятнисто нефтенасыщенные,4
57,Unload1,1000057,Field6,Well11,1963.1,1978.1,1964.3,1979.3,15.0,7.08,8.0,УФ,7.08,8.77,песчаник,не карбонатный,не разрушен,слабо нефтенасыщенные,5
