index,Folder,Id,Field,Well,CoringTop,CoringDown,CoringTopBind,CoringDownBind,CoreRecovery,PhotoTop,PhotoDown,PhotoType,LayerTop,LayerDown,Rock,Carbonate,Ruin,Saturation,class,weight
1657,Unload2,1001901,Field1,Well3,2621.0,2638.0,2624.0,2641.0,16.85,2.93,3.91,УФ,2.63,5.34,песчаник,с карбонатными обломками или конкрециями,частично разрушен,нефтенасыщенные,1,9.367713004484305
452,Unload1,1001161,Field3,Well12,3175.1,3181.1,3176.3,3182.3,5.98,1.0,1.45,УФ,0.9,1.45,"пересл. песчаника, алевролита и глин",с примесью,не разрушен,не опред.,0,1.3698360655737705
524,Unload1,1001305,Field3,Well12,3252.0,3263.0,3253.5,3264.5,10.92,0.0,1.0,УФ,0.0,4.04,алевролит,слабокарбонатный,не разрушен,не опред.,0,1.3698360655737705
609,Unload1,1001475,Field3,Well9,798.0,805.0,798.7,805.7,6.9,6.72,6.9,УФ,6.72,6.9,алевро-аргиллит,не карбонатный,не разрушен,не опред.,0,1.3698360655737705
1255,Unload2,1001097,Field8,Well14,2781.0,2799.0,2782.1,2800.1,17.99,15.98,16.99,УФ,12.0,17.81,кремнисто-глинистая порода,не карбонатный,не разрушен,битуминозный,2,19.70754716981132
673,Unload1,1001603,Field3,Well9,842.0,848.0,842.7,848.7,3.43,0.6,0.99,УФ,0.49,0.99,песчаник,не карбонатный,разрушен,нефтенасыщенные,1,9.367713004484305
1660,Unload2,1001907,Field1,Well3,2621.0,2638.0,2624.0,2641.0,16.85,5.34,5.7,УФ,5.34,5.7,песчаник,не карбонатный,частично разрушен,не опред.,0,1.3698360655737705
2331,Unload2,1003251,Field1,Well1,3050.0,3062.0,3052.7,3064.7,11.95,6.98,7.59,УФ,6.81,7.59,аргиллит,не карбонатный,разрушен,не опред.,0,1.3698360655737705
1930,Unload2,1002449,Field1,Well1,2315.0,2324.0,2315.4,2324.4,9.0,2.99,3.56,УФ,1.95,3.56,"пересл. песчаника, алевролита и глин",не карбонатный,частично разрушен,не опред.,0,1.3698360655737705
3137,Unload2,1004867,Field2,Well10,2568.0,2585.3,2568.6,2585.9,17.25,12.68,12.95,УФ,12.68,13.01,алевролит,не карбонатный,частично разрушен,не опред.,0,1.3698360655737705
1854,Unload2,1002297,Field1,Well3,2995.0,3001.0,2997.4,3003.4,5.24,2.98,3.96,УФ,0.0,5.24,фундамент,с карбонатными обломками или конкрециями,не разрушен,не опред.,0,1.3698360655737705
653,Unload1,1001563,Field3,Well9,828.0,835.0,828.7,835.7,6.79,4.83,5.06,УФ,4.83,5.06,песчаник,не карбонатный,не разрушен,нефтенасыщенные,1,9.367713004484305
1419,Unload2,1001425,Field1,Well7,2607.4,2617.8,2620.2,2630.6,10.4,1.99,2.98,УФ,0.0,10.4,аргиллит,с карбонатными обломками или конкрециями,частично разрушен,не опред.,0,1.3698360655737705
496,Unload1,1001249,Field3,Well12,3222.0,3231.5,3223.2,3232.7,9.5,4.99,5.99,УФ,0.0,9.5,алевролит,слабокарбонатный,не разрушен,не опред.,0,1.3698360655737705
1262,Unload2,1001111,Field8,Well14,2799.0,2817.0,2800.1,2818.1,17.78,1.09,1.96,УФ,1.09,2.86,песчаник,с карбонатными обломками или конкрециями,не разрушен,не опред.,0,1.3698360655737705
